Length1,Length2,Length3,Height,Width,Weight,Species
9.3,9.8,10.8,1.7388,1.0476,NaN,Hirundichthys
34.8,37.3,39.8,6.2884,4.0198,962.0246020194209,Fodiater
19.0,20.7,23.2,9.396,3.4104,128.0480692919873,Parexocoetus
34.6,37.0,39.3,10.5717,6.3666,631.1883084742001,Cheilopogon
21.1,22.5,25.0,6.4,3.8,NaN,Exocoetus
34.0,36.0,38.3,10.6091,6.7408,559.085930050439,Cheilopogon
12.1,13.0,13.8,2.277,1.2558,NaN,Hirundichthys
28.5,31.0,34.0,10.744,6.562,544.154166176437,Prognichthys
32.5,35.0,37.3,11.4884,7.7957,517.9678216981974,Cheilopogon
11.7,12.4,13.5,2.43,1.269,NaN,Hirundichthys
25.6,28.0,30.8,8.778,4.6816,475.6477805408315,Prognichthys
31.8,35.0,40.6,15.4686,6.1306,633.3217887433264,Cypselurus
31.9,35.0,40.5,16.2405,5.589,658.8531405483595,Cypselurus
17.8,19.6,20.8,5.1376,3.0368,1.0726746874950095,Cheilopogon
25.4,27.5,28.9,7.0516,4.335,278.7814299364343,Cheilopogon
11.5,12.2,13.4,2.0904,1.3936,NaN,Hirundichthys
40.0,42.5,45.5,6.825,4.459,1154.603075305429,Fodiater
23.0,25.0,26.5,6.4395,3.6835,206.62571500321133,Cheilopogon
12.9,14.1,16.2,4.1472,2.268,NaN,Exocoetus
20.0,22.0,23.5,5.64,3.525,94.62064273783199,Cheilopogon
35.5,38.0,40.5,7.29,4.5765,978.099261651005,Fodiater
33.5,37.0,42.6,18.957,6.603,751.8325892019163,Cypselurus
21.5,23.5,25.0,6.275,3.725,148.96268282810001,Cheilopogon
23.2,25.4,30.0,11.52,4.02,233.86080736219446,Cypselurus
25.2,27.3,28.7,8.323,5.1373,256.31650169406,Cheilopogon
28.7,31.0,36.2,14.3714,4.8146,468.6091564699734,Cypselurus
24.1,26.5,29.3,8.1454,4.2485,431.2453171041195,Prognichthys
32.0,34.5,36.5,10.2565,6.3875,531.0349766667302,Cheilopogon
25.0,27.0,30.6,8.568,4.7736,66.66937003862495,Exocoetus
36.5,39.0,41.4,11.1366,7.4934,671.808552824675,Cheilopogon
10.4,11.0,12.0,2.196,1.38,NaN,Hirundichthys
15.7,17.4,18.5,4.588,2.9415,NaN,Cheilopogon
37.3,40.0,43.5,12.354,6.525,918.8175996319872,Prognichthys
10.7,11.2,12.4,2.0832,1.2772,NaN,Hirundichthys
18.6,20.0,22.2,6.216,3.5742,NaN,Exocoetus
20.0,22.0,23.5,5.875,3.525,98.08700047102366,Cheilopogon
31.8,35.0,40.9,16.36,6.0532,660.5292650997301,Cypselurus
29.4,32.0,37.2,15.438,5.58,503.29917261691685,Cypselurus
17.2,19.0,20.2,5.6358,3.0502,NaN,Cheilopogon
25.9,28.0,29.4,7.8204,4.2042,313.50356781320716,Cheilopogon
